nom,prenom,nationalite,age_rwc_2019,somme_nb_matchs,source
Picamoles,Louis,France,33,294,http://www.itsrugby.fr/joueur_815.html
Medard,Maxime,France,32,315,http://www.itsrugby.fr/joueur_1380.html
Best,Rory,Irlande,37,214,http://www.itsrugby.fr/joueur_1471.html
Kearney,Robert,Irlande,33,198,http://www.itsrugby.fr/joueur_3575.html
Guirado,Guilhem,France,33,312,http://www.itsrugby.fr/joueur_3934.html
Huget,Yoann,France,32,231,http://www.itsrugby.fr/joueur_4421.html
Sexton,Jonathan,Irlande,34,200,http://www.itsrugby.fr/joueur_4545.html
Healy,Cian,Irlande,31,209,http://www.itsrugby.fr/joueur_4831.html
Earls,Keith,Irlande,31,164,http://www.itsrugby.fr/joueur_4843.html
Cole,Daniel,Angleterre,32,221,http://www.itsrugby.fr/joueur_5025.html
Read,Kieran,Nouvelle-Zelande,33,189,http://www.itsrugby.fr/joueur_5334.html
Cronin,Sean,Irlande,33,236,http://www.itsrugby.fr/joueur_5346.html
Whitelock,Samuel,Nouvelle-Zelande,30,158,http://www.itsrugby.fr/joueur_8480.html
Crotty,Ryan,Nouvelle-Zelande,30,211,http://www.itsrugby.fr/joueur_8487.html
Machenaud,Maxime,France,30,268,http://www.itsrugby.fr/joueur_8524.html
Youngs,Ben,Angleterre,30,234,http://www.itsrugby.fr/joueur_8760.html
Coles,Dane,Nouvelle-Zelande,32,160,http://www.itsrugby.fr/joueur_9963.html
Williams,Sonny Bill,Nouvelle-Zelande,34,187,http://www.itsrugby.fr/joueur_11165.html
Guitoune,Sofiane,France,30,205,http://www.itsrugby.fr/joueur_11696.html
Lauret,Wenceslas,France,30,229,http://www.itsrugby.fr/joueur_13626.html
Lawes,Courtney,Angleterre,30,222,http://www.itsrugby.fr/joueur_13654.html
Smith,Aaron,Nouvelle-Zelande,30,171,http://www.itsrugby.fr/joueur_13660.html
Lopez,Camille,France,30,229,http://www.itsrugby.fr/joueur_14565.html
Murray,Conor,Irlande,30,127,http://www.itsrugby.fr/joueur_16212.html
Le Roux,Bernard,France,30,191,http://www.itsrugby.fr/joueur_16765.html
Smith,Ben,Nouvelle-Zelande,33,190,http://www.itsrugby.fr/joueur_17350.html
Todd,Matt,Nouvelle-Zelande,31,214,http://www.itsrugby.fr/joueur_18289.html
O'Mahony,Peter,Irlande,30,124,http://www.itsrugby.fr/joueur_18733.html
Heinz,Willi,Angleterre,32,179,http://www.itsrugby.fr/joueur_19197.html
Moody,Joe,Nouvelle-Zelande,31,107,http://www.itsrugby.fr/joueur_24087.html
Ryan,John,Irlande,31,145,http://www.itsrugby.fr/joueur_24123.html
Kilcoyne,Dave,Irlande,30,177,http://www.itsrugby.fr/joueur_25156.html
